100301,"Tiagris Networks, LLC - TX"
100302,"Alpheus Communications, L.P. - TX"
100303,"NTCH, Inc."
100303,"NTCH, Inc."
100303,"NTCH, Inc."
100303,"NTCH, Inc."
100304,"IDS Telcom, LLC"
100305,CenturyTel
100305,CenturyTel
100305,CenturyTel
100305,CenturyTel
100305,CenturyTel
100306,Citynet
100306,Citynet
100306,Citynet
100307,"Velocity Telephone, Incorporated - MN"
100308,"Northland Networks, Ltd. - NY"
100309,"Citizen Phone, Inc. - AL"
100310,"Personal Touch Communications, LP - TX"
100311,"CenturyTel Fiber Company II, LLC dba LightCore, a CenturyTel Com"
100312,"Interlink Advertising Services, Inc. dba Forethought.Net - CO"
100313,Verizon Wireless
100313,Verizon Wireless
100313,Verizon Wireless
100313,Verizon Wireless
100313,Verizon Wireless
100315,"Cricket Communications, Inc."
100315,"Cricket Communications, Inc."
100316,Knology
100317,"Primelink, Inc."
100318,"TDS Metrocom, Inc."
100319,Fairpoint Communications Solutions Corp.
100320,Advantex Communications - TX
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100321,AT&T Wireless
100322,"Nextel Communications, Inc."
100323,"Supra Telecommunications & Information Systems, Inc."
100324,US Cellular Corp.
100325,ALLTEL
100325,ALLTEL
100325,ALLTEL
100325,ALLTEL
100326,ACS
100326,ACS
100326,ACS
100327,"Optivon, Inc."
100328,"Contact Communications, Inc."
100328,"Contact Communications, Inc."
100328,"Contact Communications, Inc."
100329,"Independent Cellular Network, Inc."
100330,Pager One Of Florida
100331,Southwest Paging - NJ
100332,Tri-State Radio
100333,Ramcell
100333,Ramcell
100335,"T-Mobile USA, Inc."
100335,"T-Mobile USA, Inc."
100336,"Pagecell, Inc."
100337,"Teletouch Communications, Inc."
100338,"Ram Technologies, Inc."
100339,"Plateau Telecommunications, Inc."
100340,"Beeper Express, Inc."
100341,Cable & Wireless
100342,TSR Paging Inc. - MD
100343,"Sprint Spectrum, L.P."
100344,Range Telecommunications
100345,Point To Point Communications -Overall
100346,"Bay Star Communications, Inc. dba Bay Star Satellite Paging"
100347,"Blackfoot Communications, Inc."
100348,"Network Services, LLC"
100349,"Atlas Mobilfone, Inc."
100350,"Comscape Communications, Inc."
100351,"Panhandle Telephone Cooperative, Inc."
100352,"Mobiletel, Inc."
100353,"Louisiana Unwired, LLC"
100354,Advanced Paging
100355,Telergy Joint Venture
100356,"Brooks Fiber Properties, Inc."
100357,Focal Communications Corporation
100358,"Birch Telecom, Inc. (Clec)"
100359,"Teleport Communications Group, Inc."
100360,"TelCove, Inc."
100361,"Intermedia Communications, Inc."
100362,"ICG Telecom Group, Inc."
100363,"Fibercomm, LC"
100364,"Fibernet Telecommunications of Pennsylvania, LLC - PA"
100365,"Electric Light Wave, Inc."
100366,Time Warner Communications
100367,"MCI Worldcom Communications, Inc."
100368,"MCI Metro, ATS, Inc."
100369,"Firstworld Communications, Inc"
100370,McLeodUSA
100371,Comcast
100371,Comcast
100371,Comcast
100371,Comcast
100371,Comcast
100372,"Westel, Inc."
100373,"Pacific LightNet, Inc. - HI"
100374,"Winstar Wireless, Inc."
100375,"Southeast Telephone, LP - KY"
100376,Austin Bestline Company
100377,Qwest Corporation
100378,"Rcn Telecom Services, Inc."
100379,Cypress Telecommunications Corporation
100380,"Arrival Communications, Inc."
100381,"Progressive Concepts, Inc. - TX"
100382,"XO Communications, Inc."
100383,"Ovation Communications, Inc."
100384,"Advanced Telcom Group, Inc."
100385,"Business Telecom, Inc. dba BTI"
100386,American Metrocomm Corporation
100387,"Xit Rural Tel. Coop., Inc."
100388,Caprock Telecommunications Corp.
100389,"Coxcom, Inc."
100390,ComputerPro Inc dba CP Telcom - MN
100391,"Otel Telekom, Inc. - NH"
100393,Northwestel Mobility Inc.
100394,"Nexus Communications, Inc."
100395,"Global Crossing Local Services, Inc."
100396,"Convergent Communications, Inc."
100397,ACC National Telecom Corporation
100398,North County Communications Corporation
100399,"CIMCO Communications, Inc."
100400,"Globe Telecommunications, Inc. - GA"
100401,"Pathway Com-Tel, Inc. - TX"
100402,"Nevada Telephone, Inc. - NV"
100403,"Allegiance Telecom, Inc."
100404,Western CLEC Corporation
100405,"Teligent, Inc."
100406,"Mountain Telecommunications, Inc."
100408,"Tex-Link Communications, Inc. - TX"
100409,"Grande Communications Networks, Inc."
100410,"Great West Services, Ltd"
100411,"Crystal Communications, Inc. dba Hickory Tech"
100412,"Penn Telecom, Inc."
100413,Newsouth Communications Corp.
100414,"American Network, Inc."
100415,Popp Communications - MN
100416,"Big River Telephone Company, LLC"
100417,North American Telecomm.
100419,"Level 3 Communications, LLC"
100420,"Starpower Communications, Llc"
100421,"Caronet, Inc. - NC"
100422,"Gourmet Express, Inc. dba Quintessential Telecom Consulting"
100423,Bermuda Tel. Co. (BM)
100424,St. Kitts Nevis Telec (Ni)
100425,"Blueriver Communications, Inc. - IN"
100426,Techtel Communications - TX
100427,Logix Communications
100428,"HTC Communications, Inc."
100429,"Omnicall, Inc."
100430,"Commnet Wireless, Inc."
100431,"Northeast Telecom, LLC"
100432,"Axxis Communication, Inc."
100433,"Digital Agent, LLC. - GA"
100434,Ameritech
100435,"Acme Communications, Inc. - IN"
